,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
76,팥밥,버섯부추국,브로콜리맛살볶음,진미채초무침,깍두기,empty,S우유(150ml),찹쌀밥,만두국,닭가슴살데리야끼조림,팽이버섯나물,열무김치,S건포도감자볼,S미숫가루,일본식소고기덮밥(규동),팽이장국,어묵채소전,건새우애호박볶음,오이피클
77,소고기김주먹밥,맑은장국,고구마샐러드,아몬드잔멸치볶음,단배추물김치,S토마토(200g),S호두우유,옥수수밥,모시조개국,돼지고기찜,미나리무침,나박김치,S찐만두,S오렌지주스,쌀밥,연두부청경채새우탕,닭날개간장조림,고구마순된장무침,총각김치
78,수수밥,닭살숙주국,우엉채어묵조림,브로콜리깨소스무침,백김치,S딸기쨈식빵,S우유(150ml),소고기가지덮밥,맑은장국,empty,유자청두부샐러드,배추김치,S마카로니채소샐러드,S수제바나나우유,밤콩밥,된장찌개,고추장불고기,상추쌈,단배추물김치
79,완두콩밥(40),순두부백탕,브로콜리달걀찜,상추배생채,열무김치,S고구마경단,S우유(100ml),찹쌀밥,모듬어묵장국,새우살크림소스볶음,바나나사과키위샐러드,나박김치,S치즈케이크,S오렌지주스,일본식소고기덮밥(규동),미니유부우동,삼색감자채볶음,양배추마요무침,비트초절이
80,옥수수밥,콩나물육개장,달걀장조림,도토리묵김무침,백김치,empty,S우유미숫가루,돼지고기양배추덮밥,브로콜리스프,고구마순된장무침,배무생채,열무물김치,S키위(100g),S수제바나나우유,율무밥,두부전골,참치파프리카볶음,가지양념찜,깍두기
81,밤콩밥(40),애호박국,달걀장조림,콩나물무침,깍두기,empty,S수제블루베리우유,백김치볶음밥,맑은장국,연근채소전,메추리알마요네즈샐러드,오이피클,empty,S오미자아이스크림,찹쌀밥,팥죽,두부데리야끼소스구이,양념가지찜,단배추물김치
82,옥수수밥(40),온청포묵국,달걀프라이,팽이버섯부추나물,열무물김치,S미역죽,S사과(35g),소고기카레라이스,맑은가쓰오부시장국,만두탕수,그린샐러드,비트초절이,S건포도감자볼,S수제블루베리우유,율무밥,차돌박이된장국,새우파프리카볶음,청경채나물,백김치
83,팥밥,감자부추국,두부조림,콩나물무침,나박김치,S모닝빵,S우유(200ml),돼지고기양배추덮밥,팽이버섯맑은국,김치녹두전,empty,단무지무침,empty,S오렌지주스,찹쌀밥,맑은꽃게탕,삼색채소달걀말이,파래자반,백김치
84,오므라이스,맑은장국,우엉채어묵조림,느타리버섯나물,단배추물김치,S견과류,S우유(150ml),옥수수밥,들깨무국,오리훈제채소구이,고구마순된장무침,배추김치,S귤(80g),S고구마쉐이크,찹쌀밥,김치유부맑은국,소고기안심버섯볶음,가지나물,나박김치
85,밤콩밥,(소고기제외)당면양배추국,소고기사태장조림,파프리카유자청무침,열무물김치,S토마토(200g),S우유(100ml),일본식소고기덮밥(규동),크림스프,empty,채소샐러드(발사믹드레싱),비트초절이,empty,S복숭아호두스무디,찹쌀밥,버섯채소전골,닭살표고버섯볶음,콩나물무침,백김치
86,밤콩밥,콩나물국,닭가슴살간장조림,오이볶음,나박김치,S방울토마토(70g),S우유미숫가루,돼지고기양배추덮밥,감자채맑은국,채소맛살전,empty,깍두기,S찐고구마,S우유(100ml),검정콩밥,양송이된장국,소고기메추리알장조림,브로콜리무침,백김치
87,수수밥,두부곤약탕국,메추리알장조림,파프리카무침,열무물김치,empty,S우유미숫가루,소고기가지덮밥,애호박맑은국,해물김치전,empty,동치미,S꿀떡,S수제바나나우유,찹쌀밥,모듬버섯찌개,훈제오리무침,마카로니콘샐러드,비트초절이
88,차조밥,배추맑은국,치즈달걀찜,브로콜리숙회(흑임자소스),열무김치,S바나나(50g),S식혜,보리밥,애호박두부젓국찌개,가자미살구이,아욱나물무침,배추김치,empty,S고구마쉐이크,찹쌀팥밥,감자미역국,돼지고기떡갈비,양상추샐러드(키위드레싱),깍두기
89,파프리카유부초밥,실파김국,소고기단호박조림,empty,단배추물김치,S당근김죽,empty,고구마밥,모듬버섯찌개,너비아니채소볶음,시래기된장무침,깻잎김치,S단팥빵,S수제블루베리우유,쌀밥,배추당면국,닭봉조림,그린샐러드,깍두기
90,수수밥,숙주당면국,치즈달걀찜,고구마순된장무침,배추김치,empty,S수제바나나우유,옥수수밥,만두국,오리훈제구이(머스타드소스),그린샐러드,깍두기,S모닝빵,S오렌지주스,불고기채소비빔밥,우동국물,팽이버섯달걀전,empty,단배추물김치
91,고구마밥(40),어묵맑은국,달걀찜(40g),브로콜리깨소스무침,백김치,S당근죽,S둥글레차,일본식소고기덮밥(규동),미니새우튀김우동,토마토치즈샐러드,고구마줄기볶음,깍두기,S건포도감자볼,S수제딸기우유,밤밥,수제비국,매생이육전,파프리카유자청무침,백김치
92,찹쌀팥밥,표고버섯탕,완자전,오이무침,백김치,empty,S수제바나나우유,율무밥,김치맑은국,새우까스,그린샐러드,비트초절이,S치즈스틱,S오렌지주스(무가당),카레라이스,맑은장국,가지나물무침,닭봉구이,깍두기
93,찹쌀밥,애호박새우젓국찌개,닭살깻잎조림,콩나물무침,동치미,S찐옥수수,S우유(150ml),새우크림스파게티,맑은장국,감자칩튀김,양상추샐러드,비트초절이,S건포도감자볼,S미숫가루,팥밥,당근황태국,간장돼지불고기,상추쌈,나박김치
94,고구마밥,달걀파국,두부케첩조림,양배추샐러드(레몬드레싱),나박김치,S견과류,S떠먹는요구르트(100ml),밤찹쌀팥밥,소갈비탕,해물부추전,사과상추겉절이,깍두기,empty,S수제바나나우유,찹쌀팥밥,수제비아욱국,돼지고기찹쌀구이(간장),시래기된장무침,백김치
95,찹쌀밥,근대맑은국,완자케첩조림,팽이버섯나물,나박김치,empty,S오렌지주스,팥밥,만두국,삼치무찜,양배추유자청무침,나박김치,empty,S수제바나나우유,새우크림스파게티,맑은장국,미니돈까스,마카로니채소샐러드,오이피클
96,수수밥(40),탕국,메추리알피망케첩조림,실파김무침,백김치,S달걀부추빵,S우유(150ml),소고기가지덮밥,채소스프,카레해물영양전,empty,비트초절이,S고구마맛탕,S요구르트,밤콩밥(40),닭개장,가자미간장조림,고구마순된장무침,깍두기
97,검정콩밥,어묵무국,새우살달걀찜,브로콜리깨소스무침,백김치,S청포도(100g),S떠먹는요구르트(100ml),옥수수밥,애호박국,닭찜,연근채소전,배추김치,S파프리카스틱,S수제바나나우유,소고기카레라이스,맑은가쓰오부시장국,알감자조림,토마토치즈범벅,깍두기
98,찹쌀밥,아욱맑은국,(저염·저당)메추리알장조림,고구마순된장무침,단배추물김치,empty,S수제블루베리바나나우유,수수밥,달걀떡국,낙지채소볶음,가지나물,나박김치,S으깬견과류고구마샐러드(요거트),S오렌지주스,일본식소고기덮밥(규동),미니유부우동,양파링튀김,마카로니채소샐러드,비트초절이
99,옥수수밥(40),느타리버섯국,부추달걀볶음,콩나물무침,백김치,S참외(100g),empty,돼지고기양배추덮밥,우동국물,군만두,파프리카유자청무침,깍두기,S건포도감자볼,S수제바나나우유,찹쌀밥,안매운닭개장,아욱건새우전,가지양념찜,나박김치
100,잡곡밥,부추바지락국,달걀채소볶음,양배추나물,석박지,S버섯장국죽,S토마토주스,새우편마늘볶음밥,아욱맑은국,햄알감자버터구이,참나물겉절이,백김치,empty,S우유미숫가루,현미찹쌀밥,다시마새우젓국,주꾸미채소간장볶음,가지깐풍,단배추물김치
101,밤밥(40),표고버섯탕,두부채소굴소스볶음,더덕사과무침,나박김치,S소고기우엉죽,S쌀음료,카레라이스,애호박맑은국,새우살채소볶음,empty,깍두기,S사과(50g),S우유(200ml),율무밥,콩나물육개장,떡갈비간장조림,동부묵무침,백김치
102,브로콜리채소볶음밥,부추새우맑은국,완자전,양배추샐러드,열무물김치,S오렌지(50g),S우유(150ml),찹쌀밥,모듬버섯찌개,뼈없는닭갈비,파프리카초무침,깍두기,empty,S우유(100ml),쌀밥(추가),팥죽,감자채전,오징어초무침,단배추물김치
103,밤콩밥,만두국,치즈달걀찜,도토리묵간장무침,동치미,empty,S복숭아호두스무디,닭살카레감자밥+양념장,유부실파국,느타리버섯나물,오이스틱,비트초절이,S건포도감자볼,S쌀음료,밤밥,바지락된장국,햄참치채소전,마늘쫑무침,열무김치
104,소고기카레라이스,다시마채국,empty,상추사과초무침,석박지,S검정콩두유죽,empty,고구마밥,양배추백짬뽕국,매생이육전,감자조림,배추김치,empty,S수제바나나우유,율무밥,방아잎된장국,돼지고기우엉잡채,얼갈이나물,나박김치
105,쌀밥(추가),두부맑은국,소고기메추리알장조림,깻잎나물,백김치,S복숭아(60g),S우유(150ml),일본식소고기덮밥(규동),실파장국,새우튀김,가지구이,깍두기,S찐고구마,S오렌지주스(무가당),찹쌀밥,모듬버섯찌개,조기구이,오징어초무침,백김치
106,율무밥(40),김치유부맑은국,달걀찜(30g),연근흑임자샐러드,깍두기,S수박(100g),S우유(100ml),율무밥,차돌박이된장국,짜장떡볶이,더덕사과무침,백김치,S치즈,S토마토주스,두부카레라이스,소고기숙주국,떡범벅,파프리카쌈장무침,나박김치
