name,ingredient,weight,category,note
,"멸치, 대멸치, 삶아서 말린것",2,,
,"취나물, 참취, 생것",15,,
,참기름,1.2,,
,"멥쌀, 백미, 생것",25,,
S두부들깨죽,"들깨, 말린것",11,수프(간식),한식
,"멥쌀, 백미, 생것",15,,
,"찹쌀, 백미, 생것",10,,
,소금,0.2,,
,두부,20,,
S두부부추죽,두부,20,수프(간식),한식
,"양파, 생것",5,,
,"부추, 재래종, 생것",10,,
,참기름,1.2,,
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S두부죽,두부,20,수프(간식),한식
,"양파, 생것",5,,
,"당근, 뿌리, 생것",5,,
,참기름,1.2,,
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S두부채소죽,두부,40,수프(간식),한식
,"멥쌀, 백미, 생것",25,,
,"호박, 애호박, 생것",5,,
,"당근, 뿌리, 생것",5,,
,"브로콜리, 생것",5,,
,"양파, 생것",5,,
,소금,0.2,,
,참기름,1.2,,
S들깨누룽지죽,"들깨, 말린것",11,수프(간식),한식
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S들깨죽,"들깨, 말린것",11,수프(간식),한식
,"멥쌀, 백미, 생것",15,,
,"찹쌀, 백미, 생것",10,,
,소금,0.2,,
S땅콩죽,"땅콩, 말린것",10,수프(간식),한식
,"멥쌀, 백미, 생것",15,,
,"찹쌀, 백미, 생것",10,,
,소금,0.2,,
S매생이죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"매생이, 생것",15,,
,"간장, 재래",1,,
,참기름,1.2,,
S멸치죽,"멸치, 잔멸치, 삶아서 말린것",5,수프(간식),한식
,"멥쌀, 백미, 생것",25,,
,참기름,1.2,,
S멸치채소죽,"멸치, 잔멸치, 삶아서 말린것",5,수프(간식),한식
,참기름,1.2,,
,"양파, 생것",5,,
,"당근, 뿌리, 생것",5,,
,"멥쌀, 백미, 생것",25,,
S명란죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"명태젓, 명란젓, 염절임",15,,
,참기름,1.2,,
S무청죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"무청, 조선무 잎, 생것",15,,
,"당근, 뿌리, 생것",5,,
,"간장, 재래",1,,
,참기름,1.2,,
S미역죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"미역, 생것",15,,
,"간장, 재래",1,,
,참기름,1.2,,
S미역채소죽,"미역, 생것",15,수프(간식),한식
,소금,0.2,,
,참기름,1.2,,
,"당근, 뿌리, 생것",5,,
,"양파, 생것",5,,
,"멥쌀, 백미, 생것",25,,
S바지락죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"바지락, 생것",15,,
,"당근, 뿌리, 생것",5,,
,"양파, 생것",5,,
,"호박, 애호박, 생것",5,,
,참기름,1.2,,
,"간장, 재래",0.2,,
S밤죽,"밤, 생것",15,수프(간식),한식
,소금,0.2,,
,"찹쌀, 백미, 생것",10,,
,"멥쌀, 백미, 생것",10,,
S배추달걀죽,"배추, 생것",10,수프(간식),한식
,참기름,1.2,,
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
,"달걀, 생것",30,,
S배추버섯죽,"배추, 생것",15,수프(간식),한식
,참기름,1.2,,
,"멥쌀, 백미, 생것",25,,
,소금,0.2,,
,"큰느타리버섯(새송이버섯), 생것",10,,
S버섯장국죽,"표고버섯, 참나무재배, 생것",10,수프(간식),한식
,"소고기, 한우, 양지, 생것",15,,
,참기름,1.2,,
,소금,0.2,,
,"양파, 생것",3,,
,"당근, 뿌리, 생것",3,,
,"멥쌀, 백미, 생것",25,,
S버섯죽,"멥쌀, 백미, 생것",25,수프(간식),한식
,"표고버섯, 참나무재배, 생것",10,,
,"느타리버섯, 생것",10,,
,참기름,1.2,,
