,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (BetaCarotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"파파야, 적숙, 생것",과일류,40,0.65,0.07,10.47,2,20,0.27,9,0,163,0.045,0.032,53.84,6,18.2
"파파야, 완숙, 생것",과일류,39,0.75,0.09,9.95,1.8,12,0.25,9,0,243,0.467,0.051,73.12,10.33,23.33
"파파야, 그린파파야, 생것",과일류,20,0.52,0.07,4.83,2.9,14,0.12,4,0,8,0.029,0.023,11.73,27.49,2.06
"백향과(패션프루트), 씨 포함, 생것",과일류,100,1.68,1.55,22.58,6.5,5,0.65,1,0,698,0.031,0.17,24.29,1049.25,35.57
"패션프루트 주스, 천연과즙",과일류,64,0.8,0.4,16.2,0,4,0.6,5,0,1100,0.01,0.09,16,0,0
"패션프루트 주스, 황색과육",과일류,60,0.67,0.18,14.45,0.2,4,0.36,6,0,525,0,0.101,18.2,0,0
"패션프루트 주스, 자색과육",과일류,51,0.39,0.05,13.6,0.2,4,0.24,6,0,419,0,0.131,29.8,0,0
"포도, 건포도",과일류,297,2.64,0.53,78.89,4.5,72,1.44,27,0,4,0.076,1.11,0.23,67.21,13.6
"포도, 통조림",과일류,69,0.14,0.02,17.12,0.8,2,0.08,25,0,21,0,0.189,0,6.9,3.25
"포도, 거봉, 생것",과일류,61,0.43,0.04,16.38,0.4,4,0.17,1,0,26,0.026,0.047,0.13,11.89,6.09
"포도, 거봉, 껍질 포함, 생것",과일류,68,0.59,0.05,18.25,0.9,7,0.2,0,0,63,0.071,0.074,0.16,14.55,6.62
"포도, 델라웨어, 생것",과일류,67,0.6,0.1,17.9,4.2,9,0.3,0,0,1,0.16,0.03,0,0,0
"포도, 마스캇함브르그, 생것",과일류,66,0.5,0.2,17.3,0,5,0.2,1,0,3,0.08,0.02,0,0,0
"포도, 세레단, 생것",과일류,58,0.6,0.1,15.4,0,6,0.4,5,0,20,0.03,0.01,3,0,0
"포도, 청포도, 생것",과일류,48,0.3,0.2,12.6,0,5,0.3,2,0,11,0.06,0.01,2,0,0
"포도, 캠벨얼리, 생것",과일류,60,0.66,0.04,15.1,1.1,3,0.11,2,0,39,0.063,0.051,0.12,10.83,5.34
"포도, 캠벨얼리, 껍질 포함, 생것",과일류,51,0.61,0.05,13.59,1.1,5,0.21,1,0,72,0.054,0.065,0.09,15.06,5.38
"포도, 캠벨얼리, 껍질, 씨 포함, 생것",과일류,58,0.71,0.13,15.01,2.2,9,0.17,1,0,67,0.072,0.057,0.09,69.82,5.25
"포도, 청포도(힘로드시드레스), 생것",과일류,47,0.41,0.03,12.63,0.6,4,0.07,0,0,19,0.073,0.023,0.09,8.74,4.13
"포도, 청포도(힘로드시드레스), 껍질 포함, 생것",과일류,45,0.42,0.03,12.1,0.5,7,0.13,1,0,46,0.037,0.036,0.12,9.63,4.56
"포도, 청포도(샤인머스켓), 껍질 포함, 생것",과일류,69,0.54,0.05,18.49,2.8,7,0.17,1,0,28,0.183,0.021,1.63,17.94,6.8
"포도, 넥타",과일류,66,0.2,0,16.2,0,5,0.8,5,0,10,0.07,0.02,30,0,0
"포도, 잼",과일류,292,0.28,0.03,72.6,1.4,10,0.34,6,0,49,0.021,0.496,11.51,8.43,3.74
포도 주스,과일류,47,0.24,0,12.92,0,9,0.13,5,0,0,0,0.021,0,0.32,0
"포도 주스, 캔",과일류,60,0.37,0.13,14.77,0.2,11,0.25,5,0,5,0.017,0.015,0.1,0,0
"포도 주스, 농축 과즙",과일류,47,0.3,0.3,12.1,0.1,5,0.3,2,0,0,0.02,0,0,31,10
"포도 주스, 천연과즙",과일류,55,0.3,0.2,14.5,0.1,3,0.1,1,0,0,0.02,0.01,0,21,7
"포도 주스, 과즙 음료",과일류,51,0.23,0.01,14.03,0,15,0.24,8,0,12,0.005,0.287,0,1.53,0.54
"포도즙, 천연과즙, 레토르트 ",과일류,48,0.66,0.01,12.62,0,7,0.07,1,0,9,0.041,0.081,0.15,3.49,1.25
"플럼코트, 생것",과일류,47,0.61,1.05,9.97,1.9,4,0.11,0,0,937,0.303,0.008,4.58,19.23,11.8
"프루트샐러드, 통조림",과일류,82,0.2,0.4,19.3,0,7,1,3,6,40,0.03,0.01,9,0,0
"프루트칵테일, 통조림",과일류,75,0.19,0.03,18.52,1.2,6,0.31,1,0,34,0.024,0.086,15.88,4.43,3.14
"프루트펀치, 통조림",과일류,48,0,0,11.97,0,8,0.09,10,0,0,0.022,0.023,0.4,0,0
"개구리고기, 생것",육류,75,16.1,0.4,0.7,0,11,0.5,69,5,0,0.12,0.07,0,0,0
"거위고기, 살코기, 생것",육류,161,22.75,7.13,0,0,13,2.57,87,12,0,0.129,0.377,7.2,0,0
"거위고기, 살코기, 구운것",육류,238,28.97,12.67,0,0,14,2.87,76,12,0,0.092,0.39,0,0,0
"거위 부산물, 간, 생것",육류,133,16.37,4.28,6.32,0,43,30.53,140,9309,0,0.562,0.892,4.5,0,0
"고래고기, 생것",육류,111,26.5,0.5,0,0,7,25.9,78,102,0,0.014,0.184,0,0,0
"고래고기, 복부정육, 생것",육류,298,22,22.5,0.3,0,7,4,0,15,0,0.09,0.08,0,0,0
"고래고기, 복부지육, 생것",육류,449,25.5,37.6,0.3,0,2,8,0,45,0,0,0.01,0,0,0
"고래고기, 붉은살, 냉동",육류,132,23.5,3.5,0,0,7,2.8,58,8,0,0.08,0.11,0,0,0
"고래고기, 붉은살, 염절임",육류,160,24.4,6.2,0.1,0,26,10,0,0,0,0.1,0.14,0,0,0
"고래 부산물, 꼬리, 생것",육류,284,28.4,18,0.2,0,7,4,0,0,0,0,0,0,0,0
"고래 부산물, 꼬리, 냉동",육류,246,13.8,20.6,0.3,0,9,8,0,150,0,0.1,0.2,0,0,0
"꿩고기, 숫꿩, 생것",육류,125,27.5,0.8,0,0,6,1.3,70,0,0,0.08,0.18,0,0,0
"꿩고기, 암꿩, 생것",육류,122,27.2,0.6,0,0,6,1.5,0,0,0,0.07,0.17,0,0,0
"닭고기, 구운것",육류,243,27.8,12.6,2.8,0,15,1.1,189,24,0,0.09,0.2,0,0,0
"닭고기, 전체, 튀긴것",육류,280,23.9,17.1,6.1,0,25,1.6,377,39,0,0.13,0.13,0,0,0
"닭고기, 가슴(껍질 제거), 생것",육류,107,22.97,0.97,0,0,4,0.28,45,10,0,0.203,0.054,0,168.42,7.06
"닭고기, 가슴(껍질 제거), 삶은것",육류,128,28.09,0.93,0,0,4,0.34,40,8,0,0.21,0.046,0,143.15,4.29
"닭고기, 가슴(껍질 제거), 구운것(팬)",육류,165,35.47,1.48,0,0,7,0.54,61,11,0,0.175,0.092,0,238.5,7.85
"닭고기, 가슴(껍질 제거), 튀긴것(튀김옷)",육류,255,21,9.7,20.2,0,6,1.5,60,49,0,0.08,0.07,0,0,0
"닭고기, 날개, 생것",육류,175,18.78,10.53,0,0,17,0.56,74,45,0,0.132,0.072,0,1595.02,97.13
"닭고기, 날개, 삶은것",육류,229,25.1,13.54,0,0,33,0.72,62,41,0,0.092,0.111,0,2085.66,128.36
"닭고기, 날개, 구운것(오븐)",육류,240,26.36,14.08,0,0,32,0.78,97,39,0,0.111,0.113,0,2124.57,129.16
"닭고기, 날개, 튀긴것(튀김옷)",육류,324,19.87,21.81,10.94,0.3,20,1.29,320,34,0,0.106,0.152,0,0,0
"닭고기, 날개, 튀긴것(밀가루옷)",육류,321,26.11,22.16,2.39,0.1,15,1.25,77,38,0,0.058,0.137,0,0,0
"닭고기, 넓적다리(껍질 제거), 생것",육류,186,18.59,11.83,0,0,9,0.54,62,41,0,0.156,0.12,0,1743.85,115
"닭고기, 넓적다리(껍질 제거), 삶은것",육류,226,25.14,13.18,0,0,8,0.82,50,31,0,0.123,0.085,0,2157.64,111
"닭고기, 넓적다리(껍질 제거), 구운것(팬)",육류,234,26.33,13.53,0,0,7,0.88,88,29,0,0.167,0.171,0,2189.9,112.68
"닭고기, 넓적다리(껍질 제거), 튀긴것",육류,218,28.18,10.3,1.18,0,13,1.46,95,21,0,0.088,0.255,0,0,0
"닭고기, 다리, 생것",육류,152,19.41,7.67,0,0,9,0.62,84,28,0,0.159,0.066,0,1183.7,65.92
"닭고기, 다리, 삶은것",육류,187,24.34,9.17,0,0,16,0.75,76,25,0,0.111,0.039,0,1401.46,76.57
"닭고기, 다리, 구운것(오븐)",육류,213,28.88,9.92,0,0,17,0.98,116,29,0,0.15,0.089,0,1516.61,82.24
"닭고기, 다리, 튀긴것(튀김옷)",육류,317,18,20.8,13.7,0,10,1,119,44,0,0.07,0.2,0,0,0
"닭고기, 다리(껍질 제거), 튀긴것",육류,208,28.38,9.32,0.65,0,13,1.4,96,20,0,0.083,0.247,0,0,0
"닭고기, 목, 생것",육류,331,15.05,29.59,0,0,26,0.84,59,73,0,0.014,0.072,0,3131.75,249.28
"닭고기, 목, 튀긴것(튀김옷)",육류,330,19.82,23.52,8.7,0,31,2.15,276,51,0,0.1,0.237,0,0,0
"닭고기, 살코기, 생것",육류,115,24,1.4,0.1,0,11,1.1,58,47,0,0.2,0.21,0,0,0
"닭고기, 살코기, 삶은것",육류,143,27.8,2.6,0.1,0,9,1,62,44,0,0.17,0.28,0,0,0
"닭고기, 살코기, 튀긴것(튀김옷)",육류,289,22.54,17.35,9.42,0.3,21,1.37,292,28,0,0.115,0.189,0,0,0
"닭고기, 성계, 생것",육류,177,19,10.6,0.1,0,10,0.9,66,50,0,0.2,0.21,0,0,0
"닭고기, 영계, 삶은것",육류,247,26.1,15,0,0,5,1.2,74,65,0,0.03,0.25,0,0,0
"닭고기, 오골계, 생것",육류,137,19,6.1,0.1,0,22,1.2,80,16,0,0.08,0.12,0,0,0
"닭고기, 토종, 생것",육류,118,22,2.6,0.2,0,11,1,63,21,0,0.21,0.17,0,0,0
"닭고기, 토종, 껍질",육류,339,12.6,31.6,0,0,9,0.5,58,0,0,0,0,0,0,0
"닭고기, 토종, 가슴",육류,107,23.1,0.7,0.5,0,8,0.5,54,0,0,0,0,0,0,0
"닭고기, 토종, 날개",육류,122,20.4,3.5,0.8,0,7,0.5,51,0,0,0,0,0,0,0
"닭고기, 토종, 다리",육류,128,18.9,4.9,0.9,0,10,0.6,72,0,0,0,0,0,0,0
"닭고기, 토종, 살코기",육류,108,20,1.3,2.8,0,10,0.7,73,0,0,0.14,0.13,0,0,0
"닭 부산물, 간, 생것",육류,116,18.8,3.9,0.1,0,5,11,92,10080,81,0.32,1.45,25,0,0
"닭 부산물, 간, 삶은것",육류,167,24.46,6.51,0.87,0,11,11.63,76,3978,30,0.291,1.993,27.9,719,12
"닭 부산물, 모래주머니, 생것",육류,85,16.87,1.41,0,0,10,1.68,42,17,0,0.133,0.07,0,199.66,0
"닭 부산물, 모래주머니, 구운것(오븐)",육류,132,26.78,2,0,0,12,2.71,57,2,0,0.026,0.144,0,276.25,0
"닭 부산물, 심장, 생것",육류,207,14.5,15.5,0,0,5,5.1,85,700,0,0.22,1.1,5,1900,82
"닭 부산물, 심장, 삶은것",육류,185,26.41,7.92,0.1,0,19,9.03,48,8,0,0.07,0.741,1.8,0,0
"닭 부산물, 닭발, 삶은것",육류,215,19.4,14.6,0.2,0,88,0.91,67,30,0,0.06,0.2,0,0,0
닭뼈 육수,육류,7,1.1,0.2,0,0,2,0.5,30,0,0,0.02,0.09,0,23,1
닭 육수,육류,12,1.3,0.7,0,0,17,0.3,13,10,0,0.02,0,0,0,0
닭꼬치,육류,254,16.5,12.2,19.1,3,25,10.9,410,21,66,0.32,0.26,0,0,0
"돼지고기, 갈비, 생것",육류,230,17.77,17.06,0,0,9,0.73,64,4,0,0.61,0.176,0.87,1447.88,94.56
"돼지고기, 갈비, 삶은것",육류,289,26.51,19.54,0,0,13,1.09,45,0,0,0.245,0.103,0.7,1874.87,123.51
"돼지고기, 갈비, 구운것(팬)",육류,265,24.83,17.59,0,0,9,0.94,79,0,0,0.631,0.097,0,1966.85,119.3
"돼지고기, 갈비(갈비살), 생것",육류,202,18.7,13.59,0,0,8,0.7,50,7,0,0.439,0.022,1.2,2235.48,99.74
"돼지고기, 뒷다리, 생것",육류,121,21.3,3.34,0,0,3,0.74,57,2,0,0.377,0.349,0.31,477.5,20.46
"돼지고기, 뒷다리, 삶은것",육류,209,30.63,8.7,0,0,7,1.01,42,2,0,0.692,0.151,0.41,1155.26,64.91
