,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (BetaCarotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"멥쌀 과자, 튀밥, 팽화",곡류및그제품,393,8.7,3.9,80.7,0,5,1,74,0,0,0.16,0.04,0,0,0
"멥쌀 과자, 쌀엿강정, 팽화",곡류및그제품,395,4.11,2.13,89.96,0,8,0.18,4,0,0,0,0.032,0,356.24,16.16
"멥쌀 국수, 말린것",곡류및그제품,340,9.1,1.5,72.6,0,27,1,1964,0,0,0.41,0.06,0,0,0
"멥쌀떡, 가래떡",곡류및그제품,213,3.71,0.37,48.8,0.7,10,0.14,261,0,0,0.007,0.013,0,122.05,4.63
"멥쌀떡, 가래떡, 흑미",곡류및그제품,205,3.5,0,47.8,0,8,1.3,226,0,14,0.05,0.02,0,0,0
"멥쌀떡, 개피떡",곡류및그제품,207,4.3,0.8,45.6,0,17,1.2,155,0,0,0.05,0.04,0,0,0
"멥쌀떡, 개피떡, 쑥",곡류및그제품,206,4.5,0.8,45.2,0,24,1.8,157,0,11,0.05,0.04,0,0,0
"멥쌀떡, 꿀떡",곡류및그제품,210,3.09,1.46,46.14,1.6,25,0.38,248,0,0,0,0.012,0,677.4,33.05
"멥쌀떡, 무지개떡",곡류및그제품,229,3.5,0.3,53,0.2,10,1.4,277,0,13,0.04,0.04,0,0,0
"멥쌀떡, 백설기",곡류및그제품,228,3.6,0.4,52.5,0.6,7,1.4,289,0,0,0.03,0,1,0,0
"멥쌀떡, 백설기, 검정콩",곡류및그제품,229,5.75,1.46,48.31,2.5,19,0.63,223,0,5,0,0.025,0,690.39,116.12
"멥쌀떡, 송편, 검정콩",곡류및그제품,200,6.9,0.8,41.2,0,20,1,463,0,0,0.04,0.02,0,0,0
"멥쌀떡, 송편, 팥",곡류및그제품,200,5.4,0.4,43.6,0,5,0.5,466,0,0,0.04,0.02,0,0,0
"멥쌀떡, 송편, 깨",곡류및그제품,224,5.9,2.74,44.01,1.1,31,0.71,173,0,0,0.026,0.036,0,1253.51,181.78
"멥쌀떡, 모싯잎송편, 동부(국내산)",곡류및그제품,190,5.28,0.65,40.64,4.2,91,0.88,282,0,690,0.016,0.343,0,196.36,100.03
"멥쌀떡, 모싯잎송편, 동부(수입산)",곡류및그제품,190,6.03,0.67,39.89,3.9,85,1.1,242,0,449,0.019,0.412,0.19,204.82,109.59
"멥쌀떡, 시루떡",곡류및그제품,183,5.83,0.41,38.94,3.1,18,0.88,233,0,2,0.03,0.031,0,148.82,32.24
"멥쌀떡, 절편",곡류및그제품,215,3.69,0.49,49.04,1,10,0.17,220,0,0,0.009,0.012,0,170.17,6.24
"멥쌀떡, 증편",곡류및그제품,198,2.99,0.57,45.23,1.6,8,0.07,289,0,0,0,0.031,0,224.23,11.4
"멥쌀떡, 증편, 건포도, 깨",곡류및그제품,191,3.04,0.29,44.07,0,9,0.02,241,0,0,0.002,0.025,0,104.15,4.18
"멥쌀미음, 백미",곡류및그제품,21,0.3,0,4.7,0,0,0,0,0,0,0,0,0,0,0
"멥쌀미음, 칠분도미",곡류및그제품,21,0.3,0.1,4.6,0,1,0,0,0,0,0.01,0,0,33,1
"멥쌀미음, 현미",곡류및그제품,20,0.4,0.1,4.4,0.2,1,0.1,0,0,0,0.02,0,0,32,1
"멥쌀밥, 쪄서 말린것",곡류및그제품,373,5.2,0.1,83.7,0,44,1.4,29,0,0,0.11,0.02,0,0,0
"멥쌀밥, 누룽지",곡류및그제품,393,6.8,0.2,86.8,4.5,18,0.6,6,0,0,0.07,0.03,0,0,0
"멥쌀밥, 백미",곡류및그제품,152,3,0.1,33.2,0,2,0.4,3,0,0,0.02,0.01,0,0,0
"멥쌀밥, 칠분도미",곡류및그제품,168,2.6,0.5,36.7,0.5,4,0.2,1,0,0,0.06,0.01,0,160,6
"멥쌀밥, 현미",곡류및그제품,167,3.3,0.2,37.3,0,3,0.9,2,0,0,0.14,0.02,0,0,0
"멥쌀밥, 농림나1호, 백미",곡류및그제품,213,2.2,0.1,48.5,0,5,0.4,2,0,0,0.24,0.01,0,0,0
"멥쌀밥, 농림나1호, 칠분도미",곡류및그제품,205,2.5,0.2,46.2,0,7,1.4,2,0,0,0.3,0.02,0,0,0
"멥쌀밥, 농림나1호, 현미",곡류및그제품,201,2.8,0.2,46.1,0,8,0.2,2,0,0,0.34,0.03,0,0,0
"멥쌀밥, 밭벼, 백미",곡류및그제품,168,3.5,0.3,36.1,0.3,3,0.1,1,0,0,0.02,0.01,0,100,4
"멥쌀밥, 밭벼, 칠분도미",곡류및그제품,168,3.6,0.5,35.7,0.5,4,0.2,1,0,0,0.06,0.01,0,160,6
"멥쌀밥, 밭벼, 현미",곡류및그제품,164,4.1,1,34.3,1.4,7,0.6,1,0,0,0.16,0.02,0,320,12
"멥쌀밥, 새추청벼, 백미",곡류및그제품,153,2.5,0.1,33.8,0,4,1.4,7,0,7,0.05,0.01,0,0,0
"멥쌀밥, 수라벼, 백미",곡류및그제품,159,2.4,0,35.7,0,5,0.3,4,0,5,0.08,0.01,0,0,0
"멥쌀밥, 일품벼, 백미",곡류및그제품,156,2.6,0.1,34.6,0,5,1.1,5,0,2,0.06,0.01,0,0,0
"멥쌀밥, 추청벼, 백미",곡류및그제품,151,2.4,0,33.7,0,4,0.2,5,0,3,0.07,0.01,0,0,0
"즉석밥, 누룽지",곡류및그제품,415,6.64,0.84,90.98,3.7,12,0.19,70,0,0,0.029,0.025,0,302.07,11.77
"즉석밥, 누룽지, 끓는물 부음",곡류및그제품,69,1.32,0.1,15.06,0.5,4,0.08,13,0,0,0,0.003,0,32.83,1.33
"즉석밥, 잡곡밥(멥쌀, 찹쌀, 흑미, 팥, 기장, 찰수수)",곡류및그제품,150,2.83,0.38,33.76,0.7,9,0.24,159,0,0,0.026,0.014,0,158.18,9.65
"즉석밥, 백미",곡류및그제품,152,2.11,0.28,33.59,1.2,5,0.07,1,0,0,0.013,0.008,0,101.25,3.97
"멥쌀죽, 백미",곡류및그제품,71,1.4,0,15.6,0,2,0.7,3,0,0,0.01,0.01,0,0,0
"멥쌀죽, 현미",곡류및그제품,70,1.2,0.4,15.2,0.6,3,0.2,1,0,0,0.07,0.01,0,130,5
"멥쌀죽, 칠분도미",곡류및그제품,71,1.1,0.2,15.6,0.2,2,0.1,0,0,0,0.03,0,0,65,2
"밀, 통밀, 생것",곡류및그제품,342,13.2,1.5,74.6,16,24,5.2,0,0,57,0.52,0.23,0,0,0
"밀, 도정, 생것",곡류및그제품,333,10.6,1,75.8,0,52,4.7,17,0,0,0.43,0.12,0,0,0
"밀, 강력밀가루",곡류및그제품,334,13.59,1.11,72.89,2.5,17,0.64,1,0,0,0.053,0.071,0.15,619.35,33.7
"밀, 금강밀, 도정, 생것",곡류및그제품,329,13.06,1.28,71.7,3.3,14,2.36,1,0,0,0.279,0.036,0,737.95,42.58
"밀, 도우넛가루",곡류및그제품,404,8.5,6.8,73.9,0,72,0.5,778,0,0,0.12,0.75,0,0,0
"밀, 박력밀가루",곡류및그제품,374,9.15,0.94,77.73,2.1,18,0.51,1,0,0,0.087,0.033,0.18,518.9,32.93
"밀, 부침가루",곡류및그제품,368,9.8,0.98,75.52,2.5,32,0.58,786,0,0,0.082,0.882,0.01,537.09,34.62
"밀, 빵가루",곡류및그제품,392,11.95,2.05,77.04,4.2,21,0.77,306,0,0,0.086,0.044,40.97,626.77,32.11
"밀, 신미찰밀, 도정, 생것",곡류및그제품,334,11.3,1.6,74.2,0,24,5.9,6,0,0,0.3,0.22,0,0,0
"밀, 중력밀가루",곡류및그제품,375,10.34,1.01,76.64,2.7,17,0.73,1,0,0,0.161,0.024,0.17,545.39,34.21
"밀, 통밀가루 ",곡류및그제품,365,11.9,1.6,71.5,3.7,26,3,5,0,6,1.7,0.06,0,0,0
"밀, 튀김가루",곡류및그제품,367,7.22,0.8,78.41,2.2,72,0.89,876,0,0,0.128,0.062,0,430.98,27.35
"밀, 팬케이크가루",곡류및그제품,394,7.9,4.9,75.9,0,102,0.4,735,0,0,0.11,0.3,0,0,0
"밀, 흑밀, 도정, 생것",곡류및그제품,328,12.9,0.9,72.5,0,37,5,6,0,0,0.38,0.22,0,0,0
"밀, 카무트, 미국산, 말린것",곡류및그제품,334,13.74,1.91,71.16,11.9,24,3.32,3,0,11,0.309,0.104,0,1038.68,71.6
"과자, 건빵",곡류및그제품,419,9.92,8.67,75.37,6.9,23,1.55,457,0,0,0.287,0.372,0.17,1614.99,84.41
"과자, 만주, 밤",곡류및그제품,330,6.35,2.39,70.86,4.5,43,1.48,158,0,11,0.037,0.322,0.37,544.27,129.42
"과자, 모나카",곡류및그제품,346,3.35,0.29,82.62,2.4,21,1.29,64,0,5,0.06,0.31,0,91.35,62.98
"과자, 비스킷, 하드",곡류및그제품,534,6.68,28.58,62.63,2.1,42,6.99,481,5,5,1.084,0.653,0.03,2893.55,88.63
"과자, 비스킷, 소프트",곡류및그제품,489,5.7,24.93,60.34,2.1,184,3.27,227,76,55,0.603,0.154,0.05,2491.76,442
"과자, 사과파이",곡류및그제품,471,5.5,21,64.98,1.9,11,0.41,207,20,152,0.065,0.065,5.25,2589.48,176.64
"과자, 전병",곡류및그제품,398,7.5,3.5,84,1.1,25,0.9,130,45,0,0.04,0.1,0,750,34
"과자, 김전병",곡류및그제품,420,6.7,6.9,82.8,0,15,0.6,150,0,45,0.11,0.05,0,0,0
"과자, 스넥, 새우",곡류및그제품,494,6.04,22.77,66.32,2.5,137,1.14,577,0,0,0.136,0.02,0,5742.79,170.84
"과자, 스넥, 옥수수",곡류및그제품,520,5.25,26.27,65.73,1.1,163,1.01,420,0,152,0,0.013,0,8143.04,115.07
"과자, 약과",곡류및그제품,422,3.8,13.3,71.7,0,5,2.6,34,0,0,0.06,0.09,0,0,0
"과자, 대추꿀약과",곡류및그제품,428,4.5,16.3,65.7,0,8,0.3,18,0,0,0.05,0.02,0,0,0
"과자, 와플 ",곡류및그제품,291,7.9,14.1,32.9,0,255,2.31,511,64,0,0.263,0.347,0.4,0,0
"과자, 잼 와플",곡류및그제품,287,4.8,4.2,57.3,1.3,53,0.5,51,29,2,0.05,0.11,5,550,50
"과자, 커스터드 크림 와플",곡류및그제품,252,7.3,7.9,38.1,0,95,0.8,65,76,0,0.08,0.19,1,910,55
"과자, 바닐라 웨하스",곡류및그제품,521,4.1,26.9,65.6,0,33,0.5,131,3,0,0.08,0.07,0,0,0
"과자, 초코볼",곡류및그제품,501,4.3,22.5,70.2,0,119,2,54,11,3,0.06,0.12,0,0,0
"과자, 초코파이",곡류및그제품,428,4.29,15.57,67.59,2.1,132,5.2,224,4,7,0.085,0.152,0,1304.57,39.78
"과자, 쿠키, 통밀",곡류및그제품,471,6.48,17.17,72.73,17.1,17,0.64,652,1,0,0.127,0.042,0.23,1000.68,45.47
"과자, 쿠키, 땅콩버터",곡류및그제품,493,8.36,20.87,67.97,2.4,17,0.84,346,6,8,0,0.06,0.29,2821.14,64.38
"과자, 쿠키, 초코칩",곡류및그제품,494,5.92,20.55,71.38,3,39,1.59,312,9,6,0.031,0.122,0.24,1217.84,82.28
"과자, 쿠키, 버터",곡류및그제품,512,6.37,24.52,66.47,1.4,28,0.84,226,62,39,0.088,0.103,0.04,2078.76,105.04
"과자, 크랙커",곡류및그제품,513,7,27.8,58.8,0,136,1.8,634,0,0,0.05,0.25,0,0,0
"과자, 크랙커, 땅콩샌드",곡류및그제품,524,7.66,26.24,64.23,2.1,35,0.76,195,0,0,0.296,0.223,0.08,3475.97,95.43
"과자, 크랙커, 치즈샌드",곡류및그제품,497,6.08,22.23,68.24,1.9,53,0.66,539,4,16,0.311,0.103,0.08,1840.03,100.33
"과자, 크랙커, 채소",곡류및그제품,506,7.38,22.62,68.26,1.8,65,0.76,394,0,26,0.242,0.049,0,1712.83,79.01
"과자, 피칸파이",곡류및그제품,360,8,17.2,43.2,0,44,1.4,90,56,0,0.05,0.04,0,0,0
"과자, 뻥튀기, 원반 모양, 팽화",곡류및그제품,383,11.06,1.07,82.29,2,21,0.81,112,0,0,0,0.034,0,568.17,37.46
"과자, 마카로니 과자, 튀긴것",곡류및그제품,457,11.5,13.96,71.28,5.1,24,1.81,497,0,0,0.029,0.059,0,6785.94,938.39
"국수, 생것",곡류및그제품,291,7.25,0.87,60.09,1.8,13,0.4,395,0,0,0.056,0,1.02,464.72,27.88
"국수, 소면, 말린것",곡류및그제품,370,10.36,1.27,74.86,2,19,0.82,1274,0,0,0.115,0.079,0.34,673.48,35.91
"국수, 소면, 말린것, 삶은것",곡류및그제품,126,3.55,0.48,25.31,1.5,7,0.28,68,0,0,0,0,0.08,246.08,13.04
"국수, 우동, 생것",곡류및그제품,164,3.33,1.25,33.09,1.9,10,0.17,142,0,0,0.088,0.007,0,456.72,19.98
"국수, 우동, 생것, 삶은것",곡류및그제품,139,2.95,0.46,29.12,1.6,8,0.14,78,0,0,0.071,0.007,0,211.34,11.54
"국수, 중국국수, 생면",곡류및그제품,281,8.6,1.2,55.7,2.1,21,0.5,410,0,0,0.02,0.02,0,580,31
"국수, 중국국수, 생면, 삶은것",곡류및그제품,149,4.9,0.6,29.2,1.3,20,0.3,70,0,0,0.01,0.01,0,290,16
"국수, 중국국수, 말린것",곡류및그제품,356,10.3,5.2,67.1,2.3,110,0.8,2700,0,5,0.21,0.04,0,1400,98
"국수, 중국국수, 말린것, 삶은것",곡류및그제품,148,5.2,0.6,28.6,1.5,11,0.5,200,0,0,0.02,0.02,0,290,16
"국수, 중국국수, 증숙, 생것",곡류및그제품,198,5.3,1.7,38.4,1.9,9,0.3,170,0,0,0.01,0.01,0,820,44
"국수, 중면, 말린것",곡류및그제품,366,10.4,1.21,73.94,2.4,18,0.75,1284,0,0,0.076,0.088,0.38,642.2,36.78
"국수, 중면, 말린것, 삶은것",곡류및그제품,120,3.55,0.4,24.04,2,8,0.26,88,0,0,0.013,0.006,0.04,207.09,12.46
"국수, 쫄면, 말린것",곡류및그제품,348,9.16,1.08,71.29,1.7,19,0.57,1697,0,0,0.022,0.006,0,551.84,34.06
"국수, 칼국수, 생것",곡류및그제품,303,7.25,0.87,63.02,1.7,15,0.41,327,0,0,0.035,0,0.25,461.04,28.42
"국수, 칼국수, 생것, 삶은것",곡류및그제품,140,3.49,0.43,28.98,2.5,6,0.13,47,0,0,0,0,0.06,222.51,14.23
"국수, 칼국수 , 반건조",곡류및그제품,281,6.4,1.4,57.5,0,15,1.4,1768,0,0,0.08,0.02,0,0,0
"라면, 말린것",곡류및그제품,445,8.23,14.28,69.05,3.8,226,0.44,437,0,0,0.077,1.119,0.71,1758.32,42.32
"라면, 말린것, 삶은것",곡류및그제품,175,3.61,4.17,29.65,3.9,97,0.42,104,0,0,0.021,0.277,0,562.59,15.37
"빵, 건포도빵",곡류및그제품,269,8.2,3.5,51.1,2.2,32,0.9,400,0,1,0.11,0.05,0,550,26
"빵, 곰보빵",곡류및그제품,415,9.5,14.54,61.44,4.1,35,0.71,307,19,48,0.036,0.111,0,2062.23,57.08
"빵, 꽈배기",곡류및그제품,404,7.9,20.4,47.2,2.1,32,9.3,431,24,23,0.23,0.2,0,0,0
"빵, 팥 도우넛",곡류및그제품,347,6.6,15.3,45.7,0,27,1,188,26,0,0.1,0.07,0,0,0
"빵, 링 도우넛",곡류및그제품,426,7.3,26,40.6,0,28,1.1,360,12,12,0.09,0.11,0,0,0
"빵, 하드 롤빵",곡류및그제품,293,9.9,4.3,52.7,2.3,95,3.28,544,0,0,0.478,0.336,0,0,0
"빵, 소프트 롤빵",곡류및그제품,316,10.1,9,48.6,2,44,0.7,490,0,15,0.1,0.06,0,1100,120
"빵, 마늘빵",곡류및그제품,424,9.8,17.2,57.5,3,39,5.4,558,26,57,0.18,0.12,0,0,0
"빵, 우유 머핀",곡류및그제품,296,6.9,11.4,41.4,2.7,200,2.39,467,39,0,0.284,0.301,0.3,0,0
"빵, 잉글리쉬 머핀",곡류및그제품,235,7.7,1.8,46,2.7,52,0.89,464,0,0,0.181,0.154,0.1,0,0
"빵, 모닝빵",곡류및그제품,316,9.06,4.91,58.99,2.1,33,0.68,260,5,16,0,0.133,0,865.64,65.98
"빵, 모카빵",곡류및그제품,354,8.31,7.53,63.29,1.4,26,0.77,316,25,31,0.054,0.117,0,1224.46,79.4
"빵, 바게트빵",곡류및그제품,279,9.4,1.3,57.5,2.7,16,0.9,620,0,0,0.08,0.05,0,600,32
"빵, 달걀 베이글",곡류및그제품,278,10.6,2.1,53,2.3,13,3.98,505,33,0,0.536,0.235,0.6,0,0
"빵, 식빵",곡류및그제품,279,9.01,4.91,49.68,3.7,26,0.6,516,0,17,0.169,0.326,0,545.11,45.74
"빵, 식빵, 베타카로틴 첨가",곡류및그제품,266,9.35,3.5,49.37,3.7,17,0.73,456,0,322,0.299,0.891,0,737.52,35.88
"빵, 식빵, 옥수수",곡류및그제품,270,9.44,3.42,50.45,3.7,17,0.68,524,0,10,0.059,1.942,0,805.98,54.72
"빵, 우유 식빵",곡류및그제품,285,9.1,6,48.7,0,32,1.5,434,0,0,0.07,0.07,0,0,0
"빵, 옥수수빵",곡류및그제품,321,7.4,10.2,49.1,2.4,75,1.94,795,36,0,0.249,0.276,0.1,0,0
"빵, 잼빵",곡류및그제품,297,6.6,5.8,54.5,1.8,31,0.5,310,0,9,0.07,0.04,3,740,85
"빵, 찐빵, 팥",곡류및그제품,213,5.96,1.29,44.36,5.1,22,0.93,158,0,5,0.015,0.045,0,352.61,49.73
"빵, 채소 찐빵",곡류및그제품,231,8.1,5.5,37.3,0,54,0.9,409,0,0,0.08,0.04,0,0,0
"빵, 단호박 찐빵",곡류및그제품,239,5.4,0.9,52.4,0,26,0.7,280,0,2300,0.12,0.1,14,0,0
"빵, 카스텔라",곡류및그제품,299,6.91,3.72,59.46,4.7,29,0.79,81,36,259,0.032,0.202,0,586.65,23.93
"빵, 크로와상",곡류및그제품,448,7.9,26.8,43.9,1.8,21,0.6,470,0,66,0.08,0.03,0,2900,220
"빵, 버터 크로와상",곡류및그제품,406,8.2,21,45.8,2.6,37,2.03,467,202,38,0.388,0.241,0.2,0,0
"빵, 크로켓",곡류및그제품,307,6,18.2,29.7,0,25,1.1,346,4,275,0.06,0.12,0,0,0
"빵, 채소 크로켓",곡류및그제품,301,7.1,16.4,31.2,1.1,32,10.3,403,16,143,0.21,0.17,5,0,0
"빵, 크림빵",곡류및그제품,275,6,7.7,45.5,0,40,0.9,160,18,10,0.08,0.09,0,0,0
"빵, 버터 크림빵",곡류및그제품,383,8.2,18.4,46.2,2.6,40,4.7,319,43,48,0.17,0.16,0,0,0
"빵, 팥빵",곡류및그제품,253,7.57,3.17,48.51,6.3,25,0.99,180,26,13,0.045,0.097,0,390.28,70.56
"빵, 페이스트리",곡류및그제품,457,8.6,26.3,46.5,3,31,5.2,423,65,77,0.16,0.16,0,0,0
"빵, 치즈 페이스트리",곡류및그제품,374,8,21.9,37.2,1,35,1.8,417,34,8,0.19,0.26,0.1,0,0
"빵, 과일 페이스트리",곡류및그제품,371,5.4,18.5,47.8,1.9,46,1.77,445,15,1,0.263,0.22,3.9,0,0
"빵, 붕어빵, 팥",곡류및그제품,254,4.81,6.44,44.12,6.2,17,0.78,276,0,22,0.025,0.041,0,633.32,35.7
"빵, 소시지빵",곡류및그제품,323,10.59,16.52,33,4.8,30,0.65,571,13,157,0.265,0.146,0,3843.12,498.38
"빵, 난",곡류및그제품,262,10.3,3.4,47.6,2,11,0.8,530,0,0,0.13,0.06,0,810,190
"케이크, 과일(후르츠)",곡류및그제품,324,2.9,9.1,61.6,3.7,33,2.07,101,7,3,0.05,0.099,0.5,0,0
"케이크, 롤케이크",곡류및그제품,369,7.51,20.22,39.24,6.3,32,0.87,162,77,14,0.031,0.17,0,3207.96,676.13
"케이크, 배 케이크",곡류및그제품,296,6.2,10.8,43.5,0,34,1,277,11,0,0.17,0.11,0,0,0
"케이크, 생크림 블루베리",곡류및그제품,280,3.03,18.88,24.39,0.8,44,0.45,67,130,14,0.026,0.16,2.36,1595.74,184.31
"케이크, 쇼튼드 케이크",곡류및그제품,327,7.1,13.8,43.6,0.6,32,0.7,79,81,0,0.02,0.11,0,760,60
"케이크, 스펀지 케이크",곡류및그제품,352,6.6,15.2,47.2,0,34,0.9,172,78,23,0.05,0.12,0,0,0
"케이크, 엔젤푸드 케이크",곡류및그제품,258,5.9,0.8,57.8,1.5,140,0.52,749,0,0,0.102,0.491,0,0,0
"케이크, 초콜릿 케이크",곡류및그제품,417,5.23,22.09,49.31,0.7,54,2.65,146,66,39,0.065,0.13,0,961.53,65.16
"케이크, 치즈 케이크",곡류및그제품,331,5.87,21.32,28.82,0.7,100,0.78,240,130,41,0.036,0.221,0,1493.34,169.67
"케이크, 파운드 케이크",곡류및그제품,408,5.66,20.71,49.65,0.9,52,0.74,207,143,51,0.059,0.143,0,2165.71,610.65
"케이크, 팬케이크",곡류및그제품,227,6.4,9.7,28.3,0,219,1.8,439,53,0,0.201,0.281,0.3,0,0
"파스타, 마카로니, 말린것",곡류및그제품,380,12.2,0.4,77.1,0,2,1.3,2,0,0,0.13,0.05,0,0,0
"파스타, 마카로니, 말린것, 삶은것",곡류및그제품,126,3.8,0.2,25.8,0,5,0.5,5,0,0,0.03,0.01,0,0,0
"파스타, 스파게티, 말린것",곡류및그제품,365,11.78,1.28,76.64,2.7,24,1.31,2,0,6,0.076,0.047,0,679.99,45.73
"파스타, 스파게티, 말린것, 삶은것",곡류및그제품,129,3.8,0,26.9,0,5,0.7,7,0,0,0.05,0.01,0,0,0
"보리, 두산8호, 도정, 생것",곡류및그제품,352,10,1,78,0,24,1.7,18,0,0,0.27,0.07,0,0,0
"보리, 서둔찰보리, 도정, 생것",곡류및그제품,354,9.7,1.1,78.5,0,26,2.9,13,0,0,0.36,0.11,0,0,0
"보리, 쌀보리, 도정, 생것",곡류및그제품,342,9.3,1.81,74.39,12.8,30,2.59,4,0,0,0.057,0.162,0,898.97,68.85
"보리, 겉보리, 압맥",곡류및그제품,343,8.74,1.66,75.38,11,30,2.4,9,0,1,0.234,0.051,0,800.68,60.54
"보리, 겉보리, 할맥",곡류및그제품,354,9.3,1.67,77.71,17,31,2.02,11,0,3,0.216,0.064,0,815.5,60.11
"보리, 볶은것",곡류및그제품,360,12.7,2.6,74.1,0,26,18.9,0,0,0,2.42,0,0,0,0
"보리, 가루",곡류및그제품,357,11.16,1.83,76.48,12.8,35,2.44,20,0,0,0.39,0.119,0,949.24,69.14
"보리, 껍질 포함, 가루",곡류및그제품,364,10.95,2.99,76.09,22.1,48,7.68,17,0,7,0.084,0.205,0,1513.74,121.18
"보리, 미숫가루",곡류및그제품,398,14.52,5.48,76.17,12.8,54,3.99,6,0,0,0.028,0.473,0,2636.35,436.67
"보리, 엿기름, 말린것",곡류및그제품,358,14.65,2.71,71.68,20.4,48,8.63,10,0,74,0.805,0.391,0,1403.73,171.48
"보리, 찰보리, 도정, 생것",곡류및그제품,346,11.87,2.15,72.29,13.6,34,3.37,5,0,0,0.119,0.181,0.47,1122.25,89
"보리, 늘보리, 도정, 생것",곡류및그제품,346,9.79,1.77,75.08,20.8,30,2.44,6,0,0,0.031,0.088,0,865.75,60.16
"보리, 찰보리, 할맥",곡류및그제품,362,8.5,1,82,0,28,1.8,7,0,69,0.32,0.15,0,0,0
"수수, 통수수, 생것",곡류및그제품,360,10.5,3.1,76.5,0,10,2.1,4,0,0,0.32,0.11,0,0,0
"수수, 도정, 생것",곡류및그제품,338,9.85,2.96,71.5,10.3,9,2.28,2,0,9,0.352,0.196,0,1343.41,65.28
"수수, 찰수수, 도정, 생것",곡류및그제품,353,9.7,1.2,79.2,0,11,2.4,14,0,55,0.33,0.13,0,0,0
"수수떡, 수수경단",곡류및그제품,218,8.2,1.4,43.1,0,14,9.6,238,0,0,0.09,0.03,0,0,0
"시리얼, 옥수수, 아몬드",곡류및그제품,426,7.3,9.29,78.18,4.4,35,7.83,379,505,68,1.052,4.384,107.16,1614.52,15.44
"시리얼, 옥수수",곡류및그제품,378,5.11,0.59,88.05,2.5,3,8.96,434,2423,96,5.069,2.66,201.26,272.02,18.22
"시리얼, 현미",곡류및그제품,394,6.8,2.79,85.33,3.3,11,8.97,551,1008,0,1.616,3.404,155.27,975.58,40.56
"시리얼, 옥수수, 그래놀라, 코코넛 ",곡류및그제품,434,5.56,9.75,80.93,4.7,19,7.31,279,381,111,1.869,4.725,179.55,1132.76,46.13
"시리얼, 옥수수, 그래놀라, 건조과일 ",곡류및그제품,395,5.81,3.65,84.66,3.3,41,11.95,390,1600,62,1.849,3.073,190.89,417.49,24.9
"시리얼, 쌀",곡류및그제품,390,6.65,1.68,86.99,1.9,259,18.75,625,1208,0,3.427,1.397,169.96,859.24,45.87
"시리얼, 코코아",곡류및그제품,407,6.08,4.34,85.78,4.6,203,7.65,232,785,57,3.076,5.185,222.84,615.72,44.72
"아마란스, 노란색, 건조",곡류및그제품,383,17.09,5.94,67.27,13.8,252,9.79,0,0,57,0.752,0.073,4.04,2166.12,36.49
"아마란스, 붉은색, 건조",곡류및그제품,381,16.47,5.78,67.59,16.4,287,9.21,0,0,48,0.767,0.087,3.57,2212.19,30.8
"옥수수, 단옥수수, 생것",곡류및그제품,109,3.8,0.5,23.4,0,21,1.8,1,0,156,0.23,0.14,0,0,0
"옥수수, 단옥수수, 찐것",곡류및그제품,135,4.2,0.7,29.1,0,21,2.1,1,0,144,0.08,0.03,0,0,0
"옥수수, 메옥수수, 생것",곡류및그제품,178,5.34,2.06,36.26,4.9,4,1.01,0,0,3,0.484,0.089,5.43,920.99,25.6
"옥수수, 메옥수수, 말린것",곡류및그제품,348,9.7,3.8,71.9,0,25,2.1,1,0,283,0.33,0.11,0,0,0
"옥수수, 메옥수수, 찐것",곡류및그제품,173,5.11,2.19,34.89,5.7,4,0.95,0,0,8,0.12,0.077,2.07,1044.8,33.9
"옥수수, 메옥수수, 구운것",곡류및그제품,372,8.9,3.9,78.3,0,0,1.5,1,0,304,0.38,0,0,0,0
"옥수수, 찰옥수수, 생것",곡류및그제품,142,4.9,1.2,29.4,0,21,2.2,1,0,52,0.25,0.11,0,0,0
"옥수수, 찰옥수수, 말린것",곡류및그제품,371,11.5,4.6,74.7,0,8,1.8,2,0,203,0.13,0.15,4,0,0
"옥수수, 찰옥수수, 찐것",곡류및그제품,132,6.6,1.4,25.4,0,21,2.3,1,0,42,0.08,0.07,0,0,0
"옥수수, 가루",곡류및그제품,364,7.32,0.97,83.3,1.9,5,0.73,2,0,379,0.007,0.027,0,504.09,23.55
"옥수수, 크림, 통조림",곡류및그제품,84,1.7,0.5,18.6,1.8,2,0.4,260,0,14,0.02,0.05,3,230,7
"옥수수, 홀커넬, 통조림",곡류및그제품,82,2.3,0.5,17.8,3.3,2,0.4,210,0,19,0.03,0.05,2,140,7
"옥수수, 가당, 통조림",곡류및그제품,105,2.07,0.73,22.45,1.3,2,0.35,206,0,14,0,0.118,4.75,253.35,14.64
"옥수수 과자, 강냉이",곡류및그제품,401,7.16,3.25,87.9,0.4,2,1.55,51,0,0,0,0.389,0,1636.19,62.4
"옥수수 과자, 콘칩",곡류및그제품,538,6.17,33.36,56.9,4,138,1.2,514,0,20,0.047,0.078,0,16036,264
"옥수수 과자, 팝콘",곡류및그제품,536,7.6,30.6,57.6,0,10,1.9,784,0,14,0.12,0.05,0,0,0
"옥수수 과자, 팝콘, 전자레인지 조리",곡류및그제품,497,8.12,27.28,61.18,10.9,6,2.03,315,0,32,0.011,0,0,3942.69,176.02
