,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
검정콩밥(75),275.75,7.0596,1.3821999999999999,56.191500000000005,1.456,18.689999999999998,1.3173000000000001,5.510000000000001,0.57666666644,0.16816,0.06134,0.4704,578.3519,94.87730000000002
검정콩밥(90),331.7,8.988,1.906,66.645,2.08,25.5,1.6590000000000003,6.5,0.7666666664,0.20080000000000003,0.0842,0.672,826.217,135.53900000000002
고구마밥(75),230.45000000000002,3.722,0.242,51.163000000000004,0.54,6.85,0.8049999999999999,5.800000000000001,0.71666666655,0.1395,0.0164,1.4240000000000002,8.476,1.098
고구마밥(90),274.45,4.4125000000000005,0.28750000000000003,60.9725,0.675,8.3,0.9575,6.95,0.8833333332,0.16575,0.019750000000000004,1.78,10.595,1.3725
기장밥(75),272.39,5.224200000000001,0.4883,59.0937,0.32199999999999995,5.32,1.0737,5.58,0.28499999975,0.18559,0.01906,0.0,133.7672,2.8819
기장밥(90),326.9,6.366,0.629,70.791,0.46,6.3999999999999995,1.311,6.6000000000000005,0.34999999970000006,0.2257,0.0238,0.0,191.09599999999998,4.117000000000001
밤밥(75),229.85,4.176,0.32,50.403,1.08,7.050000000000001,0.883,4.6000000000000005,0.66666666655,0.1429,0.024,3.196,43.77799999999999,12.14
밤밥(90),273.7,4.98,0.385,60.022499999999994,1.35,8.55,1.055,5.45,0.8208333332,0.17000000000000004,0.02925,3.995,54.7225,15.175
밤찹쌀팥밥(75),259.21000000000004,5.6234,0.3618,55.8708,1.398,8.97,1.2444,4.82,0.32833333317,0.1761,0.035280000000000006,1.233,31.760399999999997,12.298200000000001
밤찹쌀팥밥(90),308.94,6.8312,0.4424,66.4804,1.8639999999999999,11.34,1.5051999999999999,5.76,0.41333333314,0.21420000000000003,0.04344,1.6440000000000001,42.3472,16.3976
밤콩밥(75),275.54,6.8020000000000005,1.476,56.202000000000005,0.0,21.490000000000002,1.451,5.720000000000001,0.22666666644,0.1907,0.025500000000000002,0.0,0.0,0.0
밤콩밥(90),331.4,8.620000000000001,2.04,66.66,0.0,29.5,1.85,6.800000000000001,0.26666666640000003,0.23300000000000004,0.033,0.0,0.0,0.0
보리밥(75),270.78000000000003,5.003,0.39870000000000005,59.267300000000006,0.8960000000000001,6.859999999999999,1.0653,5.720000000000001,0.22666666644,0.16039,0.024940000000000004,0.0,62.9279,4.8195
보리밥(90),324.59999999999997,6.05,0.501,71.039,1.28,8.6,1.299,6.800000000000001,0.26666666640000003,0.18970000000000004,0.032200000000000006,0.0,89.897,6.885
수수밥(75),271.55,5.031000000000001,0.35600000000000004,59.604,0.0,5.529999999999999,1.052,6.42,0.54749999975,0.17950000000000002,0.0227,0.0,0.0,0.0
수수밥(90),325.7,6.09,0.44,71.52,0.0,6.699999999999999,1.28,7.800000000000001,0.7249999997,0.21700000000000003,0.029,0.0,0.0,0.0
쌀밥(75),272.25,4.8,0.3,59.625,0.0,5.25,0.975,6.0,0.24999999975,0.1725,0.015,0.0,0.0,0.0
쌀밥(90),326.7,5.76,0.36,71.55,0.0,6.3,1.17,7.2,0.2999999997,0.207,0.018000000000000002,0.0,0.0,0.0
옥수수밥(75),271.2,5.031000000000001,0.538,59.093,0.0,6.51,1.0310000000000001,5.510000000000001,1.87749999954,0.17950000000000002,0.0213,0.0,0.0,0.0
옥수수밥(90),325.2,6.09,0.7,70.79,0.0,8.1,1.25,6.5,2.6249999994,0.21700000000000003,0.027000000000000003,0.0,0.0,0.0
완두콩밥(75),254.82,4.9064000000000005,0.3028,55.4257,0.595,7.279999999999999,1.0296,5.44,2.46083333334,0.16942000000000002,0.023469999999999998,0.833,6.130599999999999,0.6202
완두콩밥(90),301.79999999999995,5.912,0.364,65.551,0.85,9.2,1.248,6.4,3.4583333334,0.20260000000000003,0.030100000000000002,1.19,8.758,0.8859999999999999
