,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"탄산 음료, 콜라",38,0,0,9.46,0,1,0.02,2,0,0,0,0,0.43,0
"탄산 음료, 크림소다",51,0,0,13.3,0,5,0.05,12,0,0,0,0,0,0
"탄산 음료, 파인애플소다",45,0,0.1,11.3,0,2,0.1,7,0,0.02,0.01,0,0,0
"탄산 음료, 포도소다",52,0,0,13.07,0,0,0,0,0,0,0,0,0.33,0
토닉워터,34,0,0,8.8,0,1,0.01,12,0,0,0,0,0,0
"고량주, 알코올 50%",355,0,0,0,0,1,0.01,1,0,0,0.002,0,0,0
돌복숭아주,35,0.1,0.6,7.2,0,6,10,69,9.666666667,0.05,2.22,9,0,0
드라이진,284,0,0,0.1,0,0,0,0,0,0,0,0,0,0
럼,240,0,0,0.1,0,0,0,3,0,0,0,0,0,0
"막걸리, 알코올 6%",54,0.98,0.15,1.56,0.6,8,0.06,3,0,0.01,0.034,0.18,53.92,2.46
매실주,156,0.1,0,20.7,0,1,0,4,0,0,0.01,0,0,0
"맥주, 알코올 4.5%",46,0.21,0.01,3.27,0,2,0,2,0,0,0.024,0,1.01,0
"맥주, 흑맥주, 알코올 4.2%",46,0.4,0,3.6,0.2,3,0.1,3,0,0,0.04,0,0,0
"보드카, 알코올 40%",240,0,0,0,0,0,0,0,0,0,0,0,0,0
"복분자주, 알코올 15%",137,0.12,0,7.49,0.3,3,0.03,5,0,0.008,0.021,0,0,0
"브랜디, 알코올 43%",237,0,0,0,0,0,0,4,0,0,0,0,0,0
"샴페인, 알코올 6%",45,0,0,0.5,0,2,0,0,0,0,0,0,0,0
"소주, 알코올 17.8%",127,0,0,0.08,0,0,0,4,0,0,0,0,0.6,0
"소주, 알코올 25%",178,0,0,0,0,0,0,0,0,0,0,0,0,0
"오가피주, 알코올 13%",107,1.7,0,1.9,0,6,2.4,14,0,0.03,0.03,0,0,0
