,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"Sanck, Wafer, Vanilla",Grains and grain products,521,4.1,26.9,65.6,0,33,0.5,131,3,0.08,0.07,0,0,0
"Snack, Chocolate ball",Grains and grain products,501,4.3,22.5,70.2,0,119,2,54,11.25,0.06,0.12,0,0,0
"Snack, Chocolate pie",Grains and grain products,428,4.29,15.57,67.59,2.1,132,5.2,224,4.583333333,0.085,0.152,0,1304.57,39.78
"Snack, Cookie, Whole wheat",Grains and grain products,471,6.48,17.17,72.73,17.1,17,0.64,652,1,0.127,0.042,0.23,1000.68,45.47
"Snack, Cookie, Peanut butter",Grains and grain products,493,8.36,20.87,67.97,2.4,17,0.84,346,6.666666667,0,0.06,0.29,2821.14,64.38
"Snack, Cookie, Chocolate chip",Grains and grain products,494,5.92,20.55,71.38,3,39,1.59,312,9.5,0.031,0.122,0.24,1217.84,82.28
"Snack, Cookie, Butter",Grains and grain products,512,6.37,24.52,66.47,1.4,28,0.84,226,65.25,0.088,0.103,0.04,2078.76,105.04
Cracker,Grains and grain products,513,7,27.8,58.8,0,136,1.8,634,0,0.05,0.25,0,0,0
"Cracker, Peanut butter",Grains and grain products,524,7.66,26.24,64.23,2.1,35,0.76,195,0,0.296,0.223,0.08,3475.97,95.43
"Cracker, Cheese",Grains and grain products,497,6.08,22.23,68.24,1.9,53,0.66,539,5.333333333,0.311,0.103,0.08,1840.03,100.33
"Cracker, Vegetable",Grains and grain products,506,7.38,22.62,68.26,1.8,65,0.76,394,2.166666667,0.242,0.049,0,1712.83,79.01
Pecan pie,Grains and grain products,360,8,17.2,43.2,0,44,1.4,90,56,0.05,0.04,0,0,0
"Snack, Puffed, Korean rice popper",Grains and grain products,383,11.06,1.07,82.29,2,21,0.81,112,0,0,0.034,0,568.17,37.46
"Snack, Wheat, Fried, Macaroni Shape",Grains and grain products,457,11.5,13.96,71.28,5.1,24,1.81,497,0,0.029,0.059,0,6785.94,938.39
"Noodle, Wet noodle",Grains and grain products,291,7.25,0.87,60.09,1.8,13,0.4,395,0,0.056,0,1.02,464.72,27.88
"Noodle, Somyeon, Dry noodle",Grains and grain products,370,10.36,1.27,74.86,2,19,0.82,1274,0,0.115,0.079,0.34,673.48,35.91
"Noodle, Somyeon, Dry noodle, Boiled",Grains and grain products,126,3.55,0.48,25.31,1.5,7,0.28,68,0,0,0,0.08,246.08,13.04
"Noodle, Udong, Wet noodle",Grains and grain products,164,3.33,1.25,33.09,1.9,10,0.17,142,0,0.088,0.007,0,456.72,19.98
"Noodle, Udong, Wet noodle, Boiled",Grains and grain products,139,2.95,0.46,29.12,1.6,8,0.14,78,0,0.071,0.007,0,211.34,11.54
"Noodle, Chinese noodle, Wet noodle",Grains and grain products,281,8.6,1.2,55.7,2.1,21,0.5,410,0,0.02,0.02,0,580,31
"Noodle, Chinese noodle, Wet noodle, Boiled",Grains and grain products,149,4.9,0.6,29.2,1.3,20,0.3,70,0,0.01,0.01,0,290,16
"Noodle, Chinese noodle, Dry noodle",Grains and grain products,356,10.3,5.2,67.1,2.3,110,0.8,2700,0.416666667,0.21,0.04,0,1400,98
"Noodle, Chinese noodle, Dry noodle, Boiled",Grains and grain products,148,5.2,0.6,28.6,1.5,11,0.5,200,0,0.02,0.02,0,290,16
"Noodle, Chinese noodle, Steamed, Wet noodle",Grains and grain products,198,5.3,1.7,38.4,1.9,9,0.3,170,0,0.01,0.01,0,820,44
"Noodle, Jungmyeon, Dry noodle",Grains and grain products,366,10.4,1.21,73.94,2.4,18,0.75,1284,0,0.076,0.088,0.38,642.2,36.78
"Noodle, Jungmyeon, Dry noodle, Boiled",Grains and grain products,120,3.55,0.4,24.04,2,8,0.26,88,0,0.013,0.006,0.04,207.09,12.46
"Noodle, Jjomyeon, Dry noodle",Grains and grain products,348,9.16,1.08,71.29,1.7,19,0.57,1697,0,0.022,0.006,0,551.84,34.06
"Noodle, Kalguksu(Chopped noodles), Wet noodle",Grains and grain products,303,7.25,0.87,63.02,1.7,15,0.41,327,0,0.035,0,0.25,461.04,28.42
"Noodle, Kalguksu(Chopped noodles), Wet noodle, Boiled",Grains and grain products,140,3.49,0.43,28.98,2.5,6,0.13,47,0,0,0,0.06,222.51,14.23
"Noodle, Kalguksu(Chopped noodles), Semi-dried noodle",Grains and grain products,281,6.4,1.4,57.5,0,15,1.4,1768,0,0.08,0.02,0,0,0
"Ramyeon, Instant, Dry noodle",Grains and grain products,445,8.23,14.28,69.05,3.8,226,0.44,437,0,0.077,1.119,0.71,1758.32,42.32
"Ramyeon, Instant, Noodle only, Boiled",Grains and grain products,175,3.61,4.17,29.65,3.9,97,0.42,104,0,0.021,0.277,0,562.59,15.37
Raisin bread,Grains and grain products,269,8.2,3.5,51.1,2.2,32,0.9,400,0.083333333,0.11,0.05,0,550,26
Streusel bread,Grains and grain products,415,9.5,14.54,61.44,4.1,35,0.71,307,23,0.036,0.111,0,2062.23,57.08
Kkwabaegi(Twisted doughnut),Grains and grain products,404,7.9,20.4,47.2,2.1,32,9.3,431,25.91666667,0.23,0.2,0,0,0
"Doughnut, With adzuki bean paste filling",Grains and grain products,347,6.6,15.3,45.7,0,27,1,188,26,0.1,0.07,0,0,0
"Doughnut, Ring Shape",Grains and grain products,426,7.3,26,40.6,0,28,1.1,360,13,0.09,0.11,0,0,0
"Roll bread, Hard roll",Grains and grain products,293,9.9,4.3,52.7,2.3,95,3.28,544,0,0.478,0.336,0,0,0
"Roll bread, Soft roll",Grains and grain products,316,10.1,9,48.6,2,44,0.7,490,1.25,0.1,0.06,0,1100,120
French garlic bread,Grains and grain products,424,9.8,17.2,57.5,3,39,5.4,558,30.75,0.18,0.12,0,0,0
