name,ingredient,weight,category,note
,"Rice, White, Raw",5,,
,"Prosomillet, Polished, Raw",1,,
,"Sorghum, Polished, Raw",1,,
,"Chestnut, Raw",2,,
,"Welsh onion, Spring onion(Allium fistulosum L.), Raw",1,,
,"Jujube(Ziziphus jujuba Mill.), Dried",0.5,,
,"Koeran ginseng(Panax ginseng C. A. Mey.), Fresh, Raw",1,,
,"Garlic, Bulb, Raw",0.2,,
,"Salt, Table salt",0.2,,
S chicken porridge,"Rice, White, Raw",25,Soup (snack),Korean
,"Chicken, Breast, Meat only, Raw",15,,
,Sesame oil,1.2,,
,"Salt, Table salt",0.2,,
,"Garlic, Bulb, Raw",0.2,,
S carrot seaweed flake porridge,"Rice, White, Raw",25,Soup (snack),Korean
,"Carrot, Roots, Raw",15,,
,"Salt, Table salt",0.2,,
,Sesame oil,0.2,,
,"Laver(Porphyra tenera), For Gimbap, Dried",0.2,,
S carrot soup,Cow's milk,50,Soup (snack),Western
,"Carrot, Roots, Raw",30,,
,"Wheat flour, White, All-purpose",5,,
,Butter,5,,
,"Salt, Table salt",0.2,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
S carrot porridge,"Carrot, Roots, Raw",15,Soup (snack),Korean
,"Rice, White, Raw",25,,
,"Salt, Table salt",0.2,,
,Sesame oil,1.2,,
S carrot cheese soup,"Carrot, Roots, Raw",20,Soup (snack),Western
,"Onion, Raw",5,,
,Butter,5,,
,"Wheat flour, White, All-purpose",5,,
,Cow's milk,50,,
,"Salt, Table salt",0.2,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
,"Cheese, Cheddar",5,,
S carrot cheese porridge,"Carrot, Roots, Raw",15,Soup (snack),Korean
,"Rice, White, Raw",25,,
,"Salt, Table salt",0.2,,
,"Cheese, Cheddar",5,,
S carrot cream soup,"Carrot, Roots, Raw",20,Soup (snack),Western
,Cow's milk,50,,
,"Onion, Raw",10,,
,"Wheat flour, White, All-purpose",5,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
,"Salt, Table salt",0.2,,
,Butter,5,,
S carrot sweet potato porridge,"Carrot, Roots, Raw",15,Soup (snack),Korean
,"Rice, White, Raw",25,,
